"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AL1","AY1","AY2","GA1","GA2","GA3","GA4","GF1","GJ1","IA1","IA2","KA1","KA2","MA1","MD1","MW1","REM","EQD"
"07156099999","2003-04-02T02:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","330,1,N,0051,1","99999,9,9,N","999999,9,N,1","+0087,1","+0037,1","10104,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10011,1","5,1,006,1,+999,9",,"SYN060AAXX  02024 07156 36/// /3310 10087 20037 30011 40104 55006;","Q01  00002PRCP06"
"07156099999","2003-04-02T04:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","330,1,N,0051,1","22000,1,9,N","010000,1,N,1","+0059,1","+0032,1","10116,1","01,0004,9,1",,,,,,"01,1,+00300,9,07,9",,,,"01,99,1,01,1,06,1,00450,1,00,1,00,1",,,,,,"99999,9,10022,1","3,1,013,1,+999,9",,"SYN082AAXX  02044 07156 23460 13310 10059 20032 30022 40116 53013 81600 333 69945 81710;",
"07156099999","2003-04-02T05:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","330,1,N,0041,1","22000,1,9,N","015000,1,N,1","+0065,1","+0020,1","10117,1","06,0000,9,1",,,,,,"03,1,+00390,9,06,9",,,,"03,99,1,03,1,05,1,00450,1,00,1,00,1",,,,,,"99999,9,10023,1","1,1,012,1,+999,9",,"SYN076AAXX  02054 07156 32465 33308 10065 20020 30023 40117 51012 83500 333 83613;","Q01  00002PRCP06"
"07156099999","2003-04-02T07:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","330,1,N,0051,1","00480,1,9,N","015000,1,N,1","+0065,1","+0012,1","10130,1","06,0000,9,1",,,,,,"08,1,+00480,9,06,9",,,,"08,99,1,08,1,05,1,00450,1,00,1,00,1",,,,,,"99999,9,10036,1","3,1,014,1,+999,9",,"SYN076AAXX  02074 07156 32465 83310 10065 20012 30036 40130 53014 88500 333 88616;","Q01  00002PRCP06"
"07156099999","2003-04-02T08:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","340,1,N,0041,1","00420,1,C,N","015000,1,N,1","+0065,1","+0012,1","10132,1","01,9999,2,9",,,,"8,1,99,9","6,1,99,9","01,1,+00300,9,08,9",,,,"08,99,1,08,1,05,1,00450,1,99,9,99,9",,,,,,"99999,9,10038,1","1,1,015,1,+999,9","25,1","SYN094AAXX  02084 07156 21465 83408 10065 20012 30038 40132 51015 72586 885// 333 69905 81810 88616;",
"07156099999","2003-04-02T10:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","340,1,N,0051,1","00900,1,C,N","015000,1,N,1","+0076,1","+0015,1","10139,1","06,0000,2,1",,,,,,"03,1,+00480,9,08,9",,,,"07,99,1,07,1,08,1,00450,1,99,9,99,9",,,,,,"99999,9,10045,1","2,1,009,1,+999,9",,"SYN082AAXX  02104 07156 32465 73410 10076 20015 30045 40139 52009 878// 333 83816 86626;",
"07156099999","2003-04-02T11:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","340,1,N,0062,1","00900,1,C,N","015000,1,N,1","+0087,1","+0011,1","10139,1","06,0000,2,1",,,,,,"02,1,+00480,9,08,9",,,,"07,99,1,07,1,08,1,00450,1,99,9,99,9",,,,,,"99999,9,10045,1","1,1,007,1,+999,9",,"SYN082AAXX  02114 07156 32465 73412 10087 20011 30045 40139 51007 878// 333 82816 86626;",
"07156099999","2003-04-02T13:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","360,1,N,0051,1","01200,1,9,N","015000,1,N,1","+0092,1","+0014,1","10136,1","01,0004,9,1",,,,"8,1,99,9","7,1,99,9","04,1,+00600,9,08,9",,,,"05,99,1,05,1,08,1,00800,1,00,1,00,1",,,,,,"99999,9,10042,1","7,1,003,1,+999,9","27,1","SYN094AAXX  02134 07156 21565 53610 10092 20014 30042 40136 57003 72787 85800 333 69945 84820 85640;",
"07156099999","2003-04-02T14:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","350,1,N,0062,1","00600,1,9,N","015000,1,N,1","+0075,1","+0018,1","10141,1","01,0002,9,1",,,,"8,1,99,9","6,1,99,9","06,1,+00600,9,08,9",,,,"07,99,1,07,1,08,1,00800,1,00,1,00,1",,,,,,"99999,9,10047,1","3,1,002,1,+999,9","61,1","SYN094AAXX  02144 07156 21565 73512 10075 20018 30047 40141 53002 76186 87800 333 69925 86820 87640;",
"07156099999","2003-04-02T16:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","350,1,N,0062,1","99999,9,9,N","999999,9,N,1","+0094,1","+0013,1","10141,1","06,0000,2,1",,,,,,,,,,,,,,,,"99999,9,10047,1","0,1,005,1,+999,9",,"SYN060AAXX  02164 07156 36/// /3512 10094 20013 30047 40141 50005;",
